course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,days_published
62252,"Improvise Puccini´s 'E Lucevan le Stelle on Piano""",https://www.udemy.com/compose-and-improvise-through-puccini/,TRUE,20,169,3,16,All Levels,2,21/10/2013,Musical Instruments,2384
1113008,Building Up To Barre Chords,https://www.udemy.com/building-up-to-barre-chords/,TRUE,20,20,6,12,All Levels,0.716666667,16/3/2017,Musical Instruments,1142
807494,Learn the Violin - Bowing Techniques,https://www.udemy.com/learn-the-violin-bowing-techniques/,TRUE,80,89,6,12,Intermediate Level,0.666666667,26/6/2016,Musical Instruments,1405
761122,Blues Guitar Lessons - Volume 3 - Minor Blues Essentials,https://www.udemy.com/blues-guitar-lessons-volume-3-minor-blues-essentials/,TRUE,45,98,5,14,All Levels,2,13/2/2016,Musical Instruments,1539
12214,Back 2 The Basics,https://www.udemy.com/gospel-piano-101/,TRUE,50,265,23,65,All Levels,3,19/7/2013,Musical Instruments,2478
344180,Play the Jews Harp - instant skills for non musicians.,https://www.udemy.com/play-the-jews-harp/,TRUE,25,196,16,35,Intermediate Level,2.5,22/1/2015,Musical Instruments,1926
185266,Master Trumpet Playing: Intermediate Instruction Made Simple,https://www.udemy.com/trumpet-beyond-beginner/,TRUE,50,292,18,130,Intermediate Level,7,24/3/2014,Musical Instruments,2230
1076244,Practical Guitar Theory: Level 1,https://www.udemy.com/practical-guitar-theory-level-1/,TRUE,60,14,3,41,All Levels,1.5,1/5/2017,Musical Instruments,1096
1036338,Instant harmonica - enjoy playing Silent Night tonight!,https://www.udemy.com/instant-harmonica-enjoy-playing-silent-night-tonight/,TRUE,40,16,3,12,All Levels,0.633333333,14/12/2016,Musical Instruments,1234
266682,HARP&SOUL  |  Learn the Secrets of the Harmonica,https://www.udemy.com/harp-and-soul-learn-the-secrets-of-the-harmonica/,TRUE,35,114,8,59,All Levels,2,1/10/2014,Musical Instruments,2039
615226,"Play Leyenda, Canarios, and Bach on Classical Guitar",https://www.udemy.com/play-leyenda-canarios-and-bach-on-classical-guitar/,TRUE,195,185,8,70,Intermediate Level,7.5,5/11/2015,Musical Instruments,1639
963094,Instant Harmonica - play the cool tune Dirty Old Town now!,https://www.udemy.com/instant-harmonica-play-the-cool-celtic-tune-dirty-old-town/,TRUE,40,42,8,17,All Levels,1.5,12/10/2016,Musical Instruments,1297
742096,Ultimate Beginner Guitar Guide - Both Acoustic & Electric ,https://www.udemy.com/ultimate-beginner-guitar-guide/,TRUE,45,57,9,15,Beginner Level,2,16/2/2016,Musical Instruments,1536
